,loss,val_loss
0,8116.123221322242,7832.321806586756
1,7818.918192281907,7791.406922973922
2,7785.951213263464,7774.1962659759165
3,7771.434829588989,7761.851355875074
4,7756.092132087347,7749.377291728231
5,7742.655593770523,7732.400245564298
6,7733.316759078098,7726.277577309274
7,7724.781284205342,7725.736136506353
8,7721.052498700197,7710.878251745346
9,7715.90459086991,7707.547987773345
10,7714.50615439607,7742.902460337249
11,7711.5549679838,7717.364823433806
12,7720.879102930714,7709.525553000641
13,7709.231885706272,7701.969559184767
14,7709.757911524463,7698.305336233008
15,7704.958669172778,7708.51806640625
16,7714.118385542086,7688.069684544917
17,7720.956030059654,7690.241458348724
18,7700.583580580944,7695.812740485249
19,7708.033130096596,7697.134103040042
20,7705.789922080232,7695.381078697547
21,7695.712954588988,7689.844809289426
22,7708.339048817864,7693.306046145464
23,7713.797877387533,7691.129504192523
24,7700.478595323446,7699.39179279637
25,7698.234520543728,7708.746720165977
26,7704.065099776981,7720.755124067302
27,7707.875773895851,7692.443935385269
28,7691.230053839207,7684.961859809027
29,7701.219081449759,7720.6464893770935
30,7698.236164110387,7691.139671139307
31,7686.683351747209,7684.044703322005
32,7692.77958881759,7690.203450905609
33,7685.598440749507,7674.427827875665
34,7692.679022890215,7687.111722520809
35,7689.933255801226,7686.805906471631
36,7711.866430706819,7707.015593063559
37,7719.05061295972,7711.6042109159525
38,7721.2252083105295,7715.70486226544
39,7713.918109504981,7737.282164228724
40,7713.362420814635,7695.295474413909
41,7695.99481224688,7687.9598816735615
42,7709.545392711526,7696.009335444986
43,7694.1594215192645,7689.992977830723
44,7705.71533510973,7710.743200231482
45,7695.422941693575,7683.066498596336
46,7685.410973415608,7687.698513454861
47,7682.634273581162,7682.359210700478
48,7688.937837948774,7693.114887691465
49,7688.795225105352,7679.976105385638
